name,market,tradePrice,marketCap,per,pbr,eps,bps,debtRatio,sales,operatingProfit,netIncome,sectorName,sectorPer,wicsSectorName,high52wPrice,low52wPrice,foreignRatio,listedShareCount,code,vol_today,vol_avg20,vol_mult,amt_avg20,ret_60d,ret_6m,vol_mult_max5,roe,op_margin,debt_pct,off_high_pct,naver_url
달바글로벌,KOSPI,236000.0,2948563940000,39.73,16.35,6594.0,16022.0,0.28733,171242032410.0,45090464050.0,36337195800.0,,42.98944,화장품,283000.0,116200.0,0.4075029324,12493915,483650,629426.0,181600.5,3.46599265971184,43822488832.5,3.2822757111597323,48.80201765447667,3.46599265971184,41.15591062289352,26.331423083113826,28.732999999999997,-16.607773851590103,https://finance.naver.com/item/main.naver?code=483650
티에스이,KOSDAQ,259000.0,2864910111000,70.9,7.07,3526.0,35375.0,0.30959,150671280310.0,41991772080.0,40014929160.0,,27.50173,반도체와반도체장비,294000.0,36150.0,0.0956986661,11061429,131290,109148.0,131183.15,0.8320275889090939,28777187447.5,16.143497757847534,234.19354838709677,1.4150750305965363,9.967491166077739,27.869791770272105,30.958999999999996,-11.904761904761907,https://finance.naver.com/item/main.naver?code=131290
디앤디파마텍,KOSDAQ,61700.0,2828180475300,-110.6,33.13,-547.0,1826.0,0.25079,128776880.0,-11122079260.0,-10080895810.0,,-69.9395,생물공학,116600.0,32132.261,0.0473365877,45837609,347850,1136839.0,1573380.65,0.7225454310754362,91186553655.0,-0.6441223832528209,-30.674157303370787,1.2242002594858403,-29.956188389923327,-8636.70502034216,25.079,-47.08404802744426,https://finance.naver.com/item/main.naver?code=347850
에스원,KOSPI,78100.0,2967735801800,14.58,1.48,5281.0,51947.0,0.45811,673714757950.0,20744829570.0,21534544260.0,,14.24452,상업서비스와공급품,103000.0,66800.0,0.5574192684,37999178,012750,67851.0,51764.3,1.310768232160002,3768522107.5,10.780141843971624,-2.8606965174129306,1.310768232160002,10.166130864149999,3.0791710178834446,45.811,-24.174757281553394,https://finance.naver.com/item/main.naver?code=012750
DN오토모티브,KOSPI,49450.0,2893362274250,8.65,1.21,5440.0,38780.0,1.50494,1017653926000.0,144619810000.0,99178001000.0,,11.42846,자동차부품,54200.0,21550.0,0.0601324557,58510865,007340,229048.0,191862.8,1.1938114110708278,7992943667.5,1.5400410677617993,104.33884297520662,1.2752133295250565,14.027849406910779,14.211099304499712,150.494,-8.763837638376382,https://finance.naver.com/item/main.naver?code=007340
코스맥스,KOSPI,249000.0,2826027741000,23.0,5.07,10847.0,49196.0,2.89604,682023325580.0,53030980630.0,43806479290.0,,42.98944,화장품,262000.0,141000.0,0.3752824021,11349509,192820,266192.0,113240.15,2.350685688777346,23195044370.0,38.02660753880267,31.467793030623014,5.34185975557256,22.04854053175055,7.775537674595203,289.60400000000004,-4.961832061068705,https://finance.naver.com/item/main.naver?code=192820
SK바이오사이언스,KOSPI,36850.0,2891123978050,-49.8,1.6,-733.0,22806.0,0.4785,168610527500.0,-44535066050.0,-36164201740.0,,49.64242,제약,61300.0,31800.0,0.0581259159,78456553,302440,128846.0,82767.2,1.5567277858861965,2863557277.5,-9.124537607891492,-24.176954732510293,1.5567277858861965,-3.2140664737349818,-26.412980678208246,47.85,-39.88580750407831,https://finance.naver.com/item/main.naver?code=302440
DL이앤씨,KOSPI,73500.0,2843981290500,8.43,0.58,8746.0,126050.0,0.87501,1725244383030.0,157360896510.0,160136020540.0,,35.15774,건설,106600.0,38450.0,0.2567871972,38693623,375500,387245.0,310524.25,1.2470684656673352,19783641027.5,-7.779171894604763,68.77152698048221,1.2470684656673352,6.938516461721539,9.12107861691057,87.50099999999999,-31.050656660412756,https://finance.naver.com/item/main.naver?code=375500
현대무벡스,KOSDAQ,25300.0,2817813786700,243.69,17.25,103.0,1455.0,1.04315,74964780480.0,-640415170.0,-180653910.0,,173.4423,기계,50400.0,4310.0,0.0189841012,111376039,319400,1056069.0,2253754.1,0.4685821758460694,50395345671.0,-32.623169107856185,-24.25149700598802,0.5599080219088675,7.079037800687285,-0.8542880615395888,104.315,-49.801587301587304,https://finance.naver.com/item/main.naver?code=319400
롯데쇼핑,KOSPI,99500.0,2814731122500,53.34,0.18,1824.0,537131.0,1.26011,3581595079310.0,252882436710.0,143872271700.0,,37.93,백화점과일반상점,211000.0,62700.0,0.1455336228,28288755,023530,261834.0,181132.3,1.4455400831326053,20874248700.0,-37.26355611601513,19.447779111644657,3.2015383230931205,0.33958196417633685,7.060609340537686,126.01100000000001,-52.84360189573461,https://finance.naver.com/item/main.naver?code=023530
