name,market,tradePrice,marketCap,per,pbr,eps,bps,debtRatio,sales,operatingProfit,netIncome,sectorName,sectorPer,wicsSectorName,high52wPrice,low52wPrice,foreignRatio,listedShareCount,code,vol_today,vol_avg20,vol_mult,amt_avg20,ret_60d,ret_6m,vol_mult_max5,roe,op_margin,debt_pct,off_high_pct,naver_url
올릭스,KOSDAQ,124300.0,2523362466900,-155.38,18.45,-800.0,6738.0,0.28172,3572219760.0,-10786085390.0,-9769991230.0,,-37.56263,생명과학도구및서비스,217000.0,34500.0,0.0912134395,20300583,226950,325027.0,392600.15,0.8278830255159098,62541701395.0,-36.58163265306123,-3.4188034188034178,1.1085426228186617,-11.872959335114277,-301.9435005308856,28.172000000000004,-42.71889400921659,https://finance.naver.com/item/main.naver?code=226950
동서,KOSPI,25450.0,2537365000000,17.34,1.46,1468.0,17452.0,0.03928,135283553470.0,10388496300.0,43627599310.0,,32.27991,식품,32200.0,22750.0,0.035708325,99700000,026960,218659.0,125300.4,1.7450782280024646,3105263717.5,-0.3913894324853229,-7.116788321167888,1.7450782280024646,8.411643364657346,7.679053390849698,3.9280000000000004,-20.962732919254655,https://finance.naver.com/item/main.naver?code=026960
달바글로벌,KOSPI,211000.0,2630993815000,32.0,13.17,6594.0,16022.0,0.28733,171242032410.0,45090464050.0,36337195800.0,,39.59601,화장품,274500.0,116200.0,0.3661116843,12469165,483650,491425.0,245745.4,1.9997322432078077,54976801817.5,40.19933554817277,56.29629629629629,1.9997322432078077,41.15591062289352,26.331423083113826,28.732999999999997,-23.132969034608376,https://finance.naver.com/item/main.naver?code=483650
롯데에너지머티리얼즈,KOSPI,47950.0,2510923950850,-15.64,1.52,-3065.0,31623.0,0.22212,159848681510.0,-4980462160.0,3863358480.0,,294.72551,전자장비와기기,83100.0,21600.0,0.0917710782,52365463,020150,220806.0,424218.65,0.5205004541879523,25763627316.25,28.724832214765094,22.634271099744254,1.044515605337012,-9.692312557315878,-3.1157355274703513,22.212,-42.298435619735265,https://finance.naver.com/item/main.naver?code=020150
대한광통신,KOSDAQ,17070.0,2654140216200,-72.03,35.27,-237.0,484.0,1.16702,34248640060.0,-3961404120.0,-3671887420.0,,-353.22538,통신장비,31500.0,682.282,0.0120657944,155485660,010170,13455689.0,22117161.35,0.6083822777736347,527522803719.25,130.67567567567568,621.7758985200845,1.0693061657299887,-48.96694214876033,-11.566602682792771,116.702,-45.80952380952381,https://finance.naver.com/item/main.naver?code=010170
이마트,KOSPI,88400.0,2439470399600,17.39,0.22,5084.0,410591.0,1.46782,7123428675310.0,178323054720.0,79394568400.0,,52.64983,백화점과일반상점,136400.0,70300.0,0.258896248,27595819,139480,262727.0,282768.2,0.9291249864730192,27031724530.0,-5.656350053361791,13.043478260869556,0.9291249864730192,1.238215158150081,2.503331792147686,146.78199999999998,-35.19061583577713,https://finance.naver.com/item/main.naver?code=139480
코리안리,KOSPI,13490.0,2383966708190,8.5,0.65,1587.0,20843.0,2.78191,1773666088860.0,291247018710.0,214621970100.0,,8.2724,손해보험,15400.0,9700.0,0.2482128457,176721031,003690,575643.0,763637.9,0.7538166976783106,10270246549.75,2.5075987841945313,16.393442622950815,1.3360992166575283,7.614067072878185,16.420622829700438,278.191,-12.402597402597404,https://finance.naver.com/item/main.naver?code=003690
한국앤컴퍼니,KOSPI,25850.0,2454075954000,7.05,0.51,3666.0,50477.0,0.11828,378380332520.0,121684476110.0,124688108720.0,,12.49116,자동차부품,36450.0,18020.0,0.0991953252,94935240,000240,175027.0,167682.3,1.0438012837371626,4099131453.75,2.3762376237623783,-13.400335008375208,1.0438012837371626,7.2627137111951985,32.15930259894471,11.828,-29.08093278463649,https://finance.naver.com/item/main.naver?code=000240
고영,KOSDAQ,34200.0,2347992621000,152.68,6.73,224.0,5079.0,0.26804,72733688370.0,9852134090.0,15678440960.0,,294.72551,전자장비와기기,45000.0,13550.0,0.2207261973,68654755,098460,4809291.0,2872719.65,1.6741247270683028,106231550516.25,17.931034482758612,44.303797468354425,2.4316278130377253,4.410316991533766,13.545489457212302,26.804,-24.0,https://finance.naver.com/item/main.naver?code=098460
이수스페셜티케미컬,KOSPI,79200.0,2393334662400,3046.15,18.01,26.0,4398.0,1.95028,108571660000.0,3480707000.0,1884047000.0,,-36.57028,화학,131800.0,38500.0,0.0567337523,30218872,457190,239789.0,232750.5,1.0302405365402008,22450342750.0,-14.747039827771802,52.3076923076923,1.0302405365402008,0.5911778080945885,3.205907508460311,195.028,-39.90895295902883,https://finance.naver.com/item/main.naver?code=457190
