code,name,market,sectorName,tradePrice,marketCap,per,sectorPer,pbr,roe,debt_pct,op_margin,vol_mult,vol_mult_max5,amt_avg20,ret_60d,ret_6m,off_high_pct,foreignRatio,total,signal,naver_url,s_per,s_sector,s_pbr,s_roe,s_opm,s_debt,s_vol,s_amt,s_size,s_dip
019010,베뉴지,KOSDAQ,,4600.0,221720000000,1.96,15.41325,0.47,23.986416958221856,49.008,41.72135301933692,0.1275648004299522,0.2818685429428257,4709556721.25,-3.563941299790352,-29.555895865237368,-36.98630136986301,0.0061558299,77.8,💤저평가대기,https://finance.naver.com/item/main.naver?code=019010,15.0,8.0,7.0,11.391850174933115,10.0,7.105505882352941,0.0,5.979293885639816,10.0,3.373287671232876
100840,SNT에너지,KOSPI,,32700.0,676261604100,7.85,-39.00217,1.81,23.133600606782966,46.079,19.68383472798039,1.0086043152375428,4.623156015058973,6606747326.25,-0.9090909090909038,-29.828326180257516,-51.84094256259204,0.0126913957,75.7,🔥발견시작,https://finance.naver.com/item/main.naver?code=100840,9.75,0.0,3.332,10.88016036406978,9.814020428223758,7.2433411764705875,15.0,6.714332214496768,8.0,5.0
200670,휴메딕스,KOSDAQ,,25850.0,290293690500,5.02,47.04134,0.93,18.58561161739646,8.597000000000001,23.174957806313294,0.7678537249912744,1.6166210683149629,700637673.75,-1.7110266159695795,-41.316685584563,-64.29558011049723,0.0664813583,73.5,💤저평가대기,https://finance.naver.com/item/main.naver?code=200670,13.60909090909091,8.0,5.795999999999999,8.151366970437877,10.0,8.0,3.0831053415748144,1.8418611559535414,10.0,5.0
0117P0,피스피스스튜디오,KOSDAQ,,5640.0,79912658040,4.89,9.10746,0.59,12.093862815884476,24.9,1.0793136641051324,0.3119132702446105,11.66240128665132,2225643053.05,-48.25688073394495,-58.92206846321923,-86.57142857142857,0.0234320055,73.3,🔥발견시작,https://finance.naver.com/item/main.naver?code=0117P0,13.786363636363635,6.174366947535317,6.748,4.256317689530686,0.0,8.0,15.0,4.351671295215764,10.0,5.0
013700,까뮤이앤씨,KOSPI,,1680.0,100381394400,4.93,35.6928,0.88,17.862838915470494,132.834,11.161711368533457,0.3067620873942407,9.880962007779098,1530574653.6,46.596858638743456,27.65957446808511,-16.209476309226932,0.0152753192,72.7,🔥발견시작,https://finance.naver.com/item/main.naver?code=013700,13.731818181818182,8.0,5.936000000000001,7.717703349282296,4.801006687372621,3.1607529411764705,15.0,3.538666311964702,10.0,0.7761845386533666
136490,선진,KOSPI,,10990.0,261337847960,2.19,34.47767,0.46,21.125095024917645,140.279,8.020011942868878,1.054494890771803,3.5592442179188204,1030218436.0,19.84732824427482,-14.207650273224049,-21.218637992831543,0.0776358177,72.3,🔥발견시작,https://finance.naver.com/item/main.naver?code=136490,15.0,8.0,7.0,9.675057014950585,2.952948201687575,2.8104,12.796221089594102,2.679040313479115,10.0,1.4023297491039428
403850,더핑크퐁컴퍼니,KOSDAQ,,12920.0,185415049200,9.06,873.23496,1.02,11.24006854650257,10.457,12.239999959566292,1.2892327560904022,6.927469327854418,1343422761.25,13.035870516185463,-36.97560975609756,-78.99186991869918,0.0350098007,72.1,🔥발견시작,https://finance.naver.com/item/main.naver?code=403850,8.1,8.0,5.5440000000000005,3.7440411279015424,5.435294093862525,8.0,15.0,3.2554572371988844,10.0,5.0
067290,JW신약,KOSDAQ,,3265.0,182961141295,14.0,47.04134,4.71,33.6076817558299,51.981,16.636136099825464,1.4746063154290965,4.649656623977008,44302676512.0,148.2889733840304,42.26579520697167,-14.528795811518323,0.0177301814,71.9,🔥발견시작,https://finance.naver.com/item/main.naver?code=067290,1.3636363636363638,8.0,0.0,12.0,8.021256529309097,6.9656,15.0,10.0,10.0,0.5660994764397904
484870,엠앤씨솔루션,KOSPI,,16560.0,454765752000,10.41,40.10992,2.44,23.413258110014105,94.423,13.377618338792024,0.7968962377123529,7.870538424060866,2950704205.5,-76.30901287553648,-87.54887218045113,-78.40000009391305,0.0750538022,70.9,🔥발견시작,https://finance.naver.com/item/main.naver?code=484870,6.259090909090909,8.0,1.5680000000000003,11.047954866008464,6.104481375760013,4.968329411764706,15.0,4.964022104708379,8.0,5.0
035510,신세계 I&C,KOSPI,,13860.0,193775274000,6.03,32.11129,0.39,6.542453116465376,30.628,8.708875978290477,7.767263155989585,7.767263155989585,514778306.5,-6.351351351351353,-23.84615384615385,-52.6962457337884,0.0601537097,70.7,🔥발견시작,https://finance.naver.com/item/main.naver?code=035510,12.23181818181818,8.0,7.0,0.9254718698792256,3.358162340170869,7.97044705882353,15.0,1.172494910513553,10.0,5.0
461300,아이스크림미디어,KOSDAQ,,19540.0,260545050820,4.97,10.73512,1.2,24.18312833892409,28.016,41.88553466658799,0.5324988020374237,1.02730171500914,775161458.0,20.320197044334964,27.048114434330305,-29.07441016333938,0.071483785,70.0,💤저평가대기,https://finance.naver.com/item/main.naver?code=461300,13.67727272727273,7.160447826076156,5.04,11.509877003354454,10.0,8.0,0.13650857504569958,2.061354580967363,10.0,2.3843012704174225
049430,코메론,KOSDAQ,,22450.0,203127600000,8.41,172.69608,0.75,8.943205301788641,5.213,41.64667068231123,4.185521285424688,4.185521285424688,534950793.5,24.72222222222222,35.32248342374924,-5.073995771670193,0.2258556587,69.9,🔥발견시작,https://finance.naver.com/item/main.naver?code=049430,8.986363636363636,8.0,6.3,2.3659231810731844,10.0,8.0,15.0,1.2559629066551192,10.0,0.0
111710,남화산업,KOSDAQ,,3355.0,69072740000,10.22,15.41325,0.36,3.5313351498637604,7.961,19.904613016482298,0.2672766983350671,3.949512648461034,1748852742.75,-2.753623188405796,-19.544364508393286,-57.09718670076727,0.0120572664,69.5,🔥발견시작,https://finance.naver.com/item/main.naver?code=111710,6.518181818181818,4.492455084640379,7.0,0.0,9.943890009695469,8.0,14.747563242305171,3.8281599387364285,10.0,5.0
0156T0,에이치엘지노믹스,KOSDAQ,,8900.0,69261232900,6.25,47.04134,0.63,10.118491921005386,7.611,32.02599071223677,0.1416923995596582,0.4714248111378189,6681571188.25,-39.82420554428669,-39.82420554428669,-65.16634050880626,0.0091145634,69.4,💤저평가대기,https://finance.naver.com/item/main.naver?code=0156T0,11.931818181818182,8.0,6.636,3.0710951526032315,10.0,8.0,0.0,6.738786726018615,10.0,5.0
002800,신신제약,KOSDAQ,,4610.0,69936005000,7.44,47.04134,0.92,12.42651530508818,79.278,11.955364435964023,0.3744255214708532,9.082128179774434,598141832.55,2.5583982202447064,-22.651006711409394,-34.04864091559371,0.0377449656,69.0,🔥발견시작,https://finance.naver.com/item/main.naver?code=002800,10.309090909090909,8.0,5.824000000000001,4.455909183052908,5.2678614329200135,5.681035294117647,15.0,1.498414611144998,10.0,3.0060801144492135
108320,LX세미콘,KOSPI,,36200.0,588767660000,7.01,15.64387,0.51,7.341742887280188,27.208,5.485780356395409,0.8494154712412757,4.922045844993143,3326118477.5,-24.974093264248708,-40.460526315789465,-46.210995542347696,0.2904739214,68.8,🔥발견시작,https://finance.naver.com/item/main.naver?code=108320,10.895454545454546,7.358682133427769,6.972,1.4050457323681127,1.4622237390561232,8.0,15.0,5.224082300801243,8.0,4.526374442793462
079900,전진건설로봇,KOSPI,,41500.0,605590617500,19.22,172.69608,3.9,20.297168488926268,42.007,20.33342057970647,0.9438615956613584,6.080883127931995,6396135553.75,-18.46758349705304,-29.66101694915254,-44.18291862811029,0.0024043099,68.5,🔥발견시작,https://finance.naver.com/item/main.naver?code=079900,0.0,8.0,0.0,9.17830109335576,10.0,7.4349647058823525,15.0,6.643982022427615,8.0,4.272864828513787
