name,market,tradePrice,marketCap,per,pbr,eps,bps,debtRatio,sales,operatingProfit,netIncome,sectorName,sectorPer,wicsSectorName,high52wPrice,low52wPrice,foreignRatio,listedShareCount,code,vol_today,vol_avg20,vol_mult,amt_avg20,ret_60d,ret_6m,vol_mult_max5,roe,op_margin,debt_pct,off_high_pct,naver_url
CJ제일제당,KOSPI,196300.0,2955136711800,-5.27,0.43,-35668.0,440524.0,1.57976,7111120321000.0,238132400000.0,119846787000.0,,31.1842,식품,270000.0,172600.0,0.1533894294,15054186,097950,114339.0,71159.55,1.6067976821101313,13670727232.5,-13.141592920353984,-6.076555023923447,1.6067976821101313,-8.096721177506787,3.348732537920448,157.976,-27.296296296296298,https://finance.naver.com/item/main.naver?code=097950
에코프로머티,KOSPI,40350.0,2852971242450,121.45,2.77,345.0,15125.0,0.92017,166529087800.0,15678037430.0,24618146240.0,,-77.28606,전기제품,88800.0,39100.0,0.1424930275,70705607,450080,507176.0,458729.95,1.1056090843861404,23284741417.5,-41.0948905109489,-27.946428571428573,1.696252882551052,2.28099173553719,9.414593952997082,92.01700000000001,-54.560810810810814,https://finance.naver.com/item/main.naver?code=450080
하나마이크론,KOSDAQ,42500.0,2825418105000,80.53,8.54,637.0,6007.0,1.95457,507676214300.0,72040746490.0,72812951190.0,,41.5863,반도체와반도체장비,58500.0,10400.0,0.2058679347,66480426,067310,2513593.0,2578670.5,0.974763157991686,127650571467.5,47.058823529411775,74.53798767967146,1.2351217419984446,10.60429498917929,14.19029382523506,195.457,-27.350427350427353,https://finance.naver.com/item/main.naver?code=067310
금호석유화학,KOSPI,116900.0,2940891292500,10.3,0.48,11300.0,244373.0,0.36654,1779957662890.0,59403454700.0,96292490130.0,,-32.99246,화학,162300.0,102800.0,0.2767270368,25157325,011780,100481.0,87857.55,1.143680878877228,10803714367.5,-0.9322033898305104,-3.7860082304526754,1.143680878877228,4.624078764838996,3.3373521145188656,36.653999999999996,-27.97288971041282,https://finance.naver.com/item/main.naver?code=011780
효성,KOSPI,171800.0,2876001922600,9.44,1.27,19734.0,146168.0,0.94682,530184894920.0,94601468350.0,86505412950.0,,35.26548,복합기업,318000.0,66700.0,0.2109871642,16740407,004800,30887.0,36235.85,0.8523878976207264,6622735430.0,24.492753623188413,44.49116904962154,1.365995278156853,13.500903070439493,17.843108933587118,94.682,-45.9748427672956,https://finance.naver.com/item/main.naver?code=004800
달바글로벌,KOSPI,227000.0,2834018955000,36.62,15.07,6594.0,16022.0,0.28733,171242032410.0,45090464050.0,36337195800.0,,40.19773,화장품,274500.0,116200.0,0.3868953632,12484665,483650,330121.0,190247.75,1.7352163166187249,40223051667.5,53.89830508474576,42.85714285714286,1.7352163166187249,41.15591062289352,26.331423083113826,28.732999999999997,-17.30418943533698,https://finance.naver.com/item/main.naver?code=483650
서울보증보험,KOSPI,40600.0,2834756878800,10.67,0.55,3844.0,74331.0,0.89738,834319781530.0,93471140830.0,57492700600.0,,7.82247,손해보험,64800.0,39650.0,0.065620297,69821598,031210,32969.0,47997.45,0.6868906577328587,2078347150.0,-15.767634854771783,-18.71871871871872,1.3373418796206882,5.171462781342912,11.203275158907283,89.738,-37.34567901234568,https://finance.naver.com/item/main.naver?code=031210
SK바이오사이언스,KOSPI,37400.0,2934275082200,-50.07,1.61,-733.0,22806.0,0.4785,168610527500.0,-44535066050.0,-36164201740.0,,48.31957,제약,61300.0,33850.0,0.0539168475,78456553,302440,106956.0,138265.55,0.7735549455377714,5272262847.5,-9.002433090024331,-25.64612326043738,1.7193581481431928,-3.2140664737349818,-26.412980678208246,47.85,-38.988580750407834,https://finance.naver.com/item/main.naver?code=302440
미래에셋생명,KOSPI,20750.0,2804985000000,20.61,1.1,1002.0,18762.0,12.38934,2796438411000.0,68388520750.0,53392139980.0,,26.6012,생명보험,37300.0,6340.0,0.012422777,135180000,085620,331816.0,3164387.1,0.10485948447963273,83640439343.5,23.73285629099582,131.84357541899442,0.3272605301671215,5.340582027502398,2.445557909696442,1238.934,-44.369973190348524,https://finance.naver.com/item/main.naver?code=085620
에스원,KOSPI,73600.0,2796739500800,13.71,1.39,5281.0,51947.0,0.45811,673714757950.0,20744829570.0,21534544260.0,,14.12883,상업서비스와공급품,103000.0,66800.0,0.5571454204,37999178,012750,65964.0,104429.95,0.6316578720951221,7852124947.5,-14.91329479768786,-1.6042780748663055,0.7142012420766265,10.166130864149999,3.0791710178834446,45.811,-28.543689320388353,https://finance.naver.com/item/main.naver?code=012750
현대엘리베이터,KOSPI,71300.0,2787287050500,9.99,1.94,7258.0,37450.0,2.58814,545847163890.0,40486466880.0,27068395340.0,,189.06986,기계,113400.0,67000.0,0.2312282047,39092385,017800,121184.0,235245.25,0.5151389879285554,18249161130.0,-17.95166858457997,-18.792710706150338,0.7794716365155088,19.380507343124165,7.4171800383594,258.814,-37.125220458553784,https://finance.naver.com/item/main.naver?code=017800
iM금융지주,KOSPI,17300.0,2778805285900,6.72,0.44,2511.0,38725.0,15.39341,3357095000000.0,193923000000.0,158242000000.0,,8.47378,은행,22000.0,13050.0,0.4608096259,160624583,139130,538430.0,665010.1,0.8096568758880505,11415514603.0,3.9039039039038936,19.392684610075904,1.117345435806163,6.484183344092963,5.77651213325807,1539.341,-21.363636363636363,https://finance.naver.com/item/main.naver?code=139130
롯데케미칼,KOSPI,63500.0,2716239106500,-1.33,0.22,-48311.0,298452.0,0.76023,4990520929710.0,73478150850.0,33458618040.0,,-32.99246,화학,119500.0,59600.0,0.2172455868,42775419,011170,108288.0,160889.45,0.6730584261429198,11938320340.0,-20.724094881398248,-12.413793103448278,0.9427032039701795,-16.187192580381435,1.4723543270315436,76.023,-46.86192468619247,https://finance.naver.com/item/main.naver?code=011170
