name,market,tradePrice,marketCap,per,pbr,eps,bps,debtRatio,sales,operatingProfit,netIncome,sectorName,sectorPer,wicsSectorName,high52wPrice,low52wPrice,foreignRatio,listedShareCount,code,vol_today,vol_avg20,vol_mult,amt_avg20,ret_60d,ret_6m,vol_mult_max5,roe,op_margin,debt_pct,off_high_pct,naver_url
일진전기,KOSPI,62600.0,2985105414000,26.76,4.72,2179.0,12347.0,1.71988,506129977000.0,50762956000.0,35906361000.0,,52.67418,전기장비,147900.0,33500.0,0.109508384,47685390,103590,306186.0,311424.5,0.9831789085316024,17896463620.0,-55.253752680486066,-5.151515151515151,1.204458865631959,17.648011662752086,10.029628416970844,171.988,-57.67410412440839,https://finance.naver.com/item/main.naver?code=103590
유진테크,KOSDAQ,123100.0,2820964770200,58.34,5.47,1906.0,20320.0,0.22852,101873840020.0,18833542930.0,22815621570.0,,27.50173,반도체와반도체장비,231500.0,44100.0,0.3664803023,22916042,084370,169829.0,240593.85,0.705874235771197,29665835010.0,-7.8592814371257536,20.450097847358116,1.1821873252371164,9.379921259842519,18.48712380558402,22.852,-46.82505399568034,https://finance.naver.com/item/main.naver?code=084370
DN오토모티브,KOSPI,48450.0,2834851409250,8.75,1.23,5440.0,38780.0,1.50494,1017653926000.0,144619810000.0,99178001000.0,,11.42846,자동차부품,54200.0,21550.0,0.0575698889,58510865,007340,95705.0,194876.9,0.4911048975019615,7825610808.75,3.0851063829787195,89.99999999999999,0.9821225604471335,14.027849406910779,14.211099304499712,150.494,-10.60885608856088,https://finance.naver.com/item/main.naver?code=007340
GS건설,KOSPI,34900.0,2986794001000,29.5,0.56,1073.0,56462.0,2.31267,2400539000000.0,73468000000.0,10707000000.0,,35.15774,건설,44850.0,17790.0,0.1848831447,85581490,006360,4867698.0,3260127.7,1.4931004083060917,94644440467.5,5.12048192771084,84.1688654353562,2.17027694958084,1.9003931847968545,3.0604793340162355,231.26699999999997,-22.185061315496103,https://finance.naver.com/item/main.naver?code=006360
SK바이오사이언스,KOSPI,37250.0,2922506599250,-50.27,1.62,-733.0,22806.0,0.4785,168610527500.0,-44535066050.0,-36164201740.0,,49.64242,제약,61300.0,31800.0,0.05882949,78456553,302440,70624.0,85513.5,0.8258812935969174,2951984840.0,-9.477521263669498,-27.669902912621357,1.286358294304408,-3.2140664737349818,-26.412980678208246,47.85,-39.23327895595432,https://finance.naver.com/item/main.naver?code=302440
현대엘리베이터,KOSPI,73400.0,2869381059000,9.99,1.94,7258.0,37450.0,2.58814,545847163890.0,40486466880.0,27068395340.0,,173.4423,기계,113400.0,61800.0,0.2356239201,39092385,017800,100118.0,108442.55,0.9232353905362793,7431434540.0,-19.693654266958426,-19.34065934065934,0.9232353905362793,19.380507343124165,7.4171800383594,258.814,-35.273368606701936,https://finance.naver.com/item/main.naver?code=017800
에스원,KOSPI,75800.0,2880337692400,14.5,1.47,5281.0,51947.0,0.45811,673714757950.0,20744829570.0,21534544260.0,,14.24452,상업서비스와공급품,103000.0,66800.0,0.5572593439,37999178,012750,24339.0,56803.15,0.42847975860493653,4116129360.0,6.460674157303381,-0.3942181340341633,0.7788124426198195,10.166130864149999,3.0791710178834446,45.811,-26.407766990291258,https://finance.naver.com/item/main.naver?code=012750
한올바이오파마,KOSPI,56900.0,2972492302200,-496.33,16.99,-109.0,3184.0,0.50184,40030619640.0,838726390.0,275003830.0,,49.64242,제약,73000.0,27050.0,0.0328818917,52240638,009420,387981.0,348315.45,1.1138782388205863,17151568423.75,29.171396140749152,8.380952380952378,1.643332215094105,-3.4233668341708547,2.095212108987479,50.184,-22.05479452054795,https://finance.naver.com/item/main.naver?code=009420
에코프로머티,KOSPI,39150.0,2772363010500,104.2,2.38,345.0,15125.0,0.92017,166529087800.0,15678037430.0,24618146240.0,,-70.52697,전기제품,88800.0,27100.0,0.1440856855,70813870,450080,436287.0,380253.75,1.147357521128983,12927123541.25,-42.256637168141594,-47.5201072386059,1.8171655111882525,2.28099173553719,9.414593952997082,92.01700000000001,-55.91216216216216,https://finance.naver.com/item/main.naver?code=450080
효성,KOSPI,161600.0,2705249771200,8.01,1.08,19734.0,146168.0,0.94682,530184894920.0,94601468350.0,86505412950.0,,28.69442,복합기업,318000.0,80900.0,0.2148377874,16740407,004800,12879.0,29198.95,0.4410775044993056,4195862867.5,-35.23046092184369,6.666666666666665,1.1004847777060476,13.500903070439493,17.843108933587118,94.682,-49.18238993710692,https://finance.naver.com/item/main.naver?code=004800
