name,market,tradePrice,marketCap,per,pbr,eps,bps,debtRatio,sales,operatingProfit,netIncome,sectorName,sectorPer,wicsSectorName,high52wPrice,low52wPrice,foreignRatio,listedShareCount,code,vol_today,vol_avg20,vol_mult,amt_avg20,ret_60d,ret_6m,vol_mult_max5,roe,op_margin,debt_pct,off_high_pct,naver_url
iM금융지주,KOSPI,18410.0,2915470341280,7.22,0.47,2511.0,38725.0,15.39341,3357095000000.0,193923000000.0,158242000000.0,,9.46974,은행,22000.0,13050.0,0.468133314,158363408,139130,577412.0,600680.4,0.9612632607955911,10415417836.25,-1.5508021390374327,19.004524886877828,1.381218697996472,6.484183344092963,5.77651213325807,1539.341,-16.31818181818182,https://finance.naver.com/item/main.naver?code=139130
한국가스공사,KOSPI,32400.0,2990941200000,22.15,0.26,1463.0,123774.0,3.71946,11802205000000.0,910003000000.0,548328000000.0,,8.69546,가스유틸리티,46000.0,31150.0,0.1161329282,92313000,036460,129031.0,181352.6,0.7114924186364022,5992971486.25,-11.71662125340599,-16.816431322207958,1.282722166652146,1.1819929872186405,7.710449022025968,371.946,-29.565217391304344,https://finance.naver.com/item/main.naver?code=036460
브이엠,KOSDAQ,108300.0,2851188649500,102.11,16.98,1135.0,6824.0,0.40262,88892694640.0,30143186810.0,25581706910.0,,35.36291,반도체와반도체장비,122100.0,10300.0,0.099127181,26326765,089970,646370.0,820904.0,0.7873880502470447,82913711142.5,96.55172413793103,241.10236220472441,1.7108054047732744,16.63247362250879,33.90963333047184,40.262,-11.302211302211306,https://finance.naver.com/item/main.naver?code=089970
넷마블,KOSPI,36300.0,2974224927300,12.93,0.54,2746.0,66269.0,0.43187,651726759310.0,53053513570.0,210937629760.0,,18.32366,게임엔터테인먼트,69000.0,34450.0,0.2711313519,81934571,251270,184371.0,193917.2,0.9507717726947377,7351143627.5,-29.651162790697672,-26.59251769464105,1.352360698277409,4.143717273536646,8.140453466444916,43.187,-47.39130434782609,https://finance.naver.com/item/main.naver?code=251270
두산퓨얼셀,KOSPI,44550.0,2917745493300,-28.4,10.26,-1623.0,4491.0,2.70405,144847175430.0,-1291204540.0,-13187155120.0,,-35.18738,에너지장비및서비스,108900.0,21300.0,0.2243487872,65493726,336260,293466.0,557499.15,0.5263972151347674,30850673507.5,-3.2573289902280145,41.65341812400636,0.7854218253068188,-36.138944555778224,-0.8914254186640994,270.40500000000003,-59.09090909090908,https://finance.naver.com/item/main.naver?code=336260
휴젤,KOSDAQ,239500.0,2946815903500,17.88,2.65,13061.0,87960.0,0.09625,116639119760.0,47624980430.0,40606657390.0,,-75.07902,생물공학,369000.0,208500.0,0.5759452206,12304033,145020,34551.0,58904.15,0.586563085962534,14922772112.5,-11.131725417439709,5.506607929515428,1.1346568959911993,14.848794906775808,40.83105267597571,9.625,-35.09485094850948,https://finance.naver.com/item/main.naver?code=145020
로보티즈,KOSDAQ,199900.0,2930739497200,577.92,10.25,385.0,21707.0,0.02656,11841337020.0,-11843301540.0,-9947074610.0,,163.81782,기계,464000.0,73036.913,0.0793777899,14661028,108490,128666.0,172051.05,0.7478361800175006,41457867442.5,-26.77655677655678,-19.71887550200804,0.9599185823044963,1.7736214124475975,-100.01659035628056,2.656,-56.91810344827586,https://finance.naver.com/item/main.naver?code=108490
일진전기,KOSPI,59500.0,2837280705000,29.23,5.16,2179.0,12347.0,1.71988,506129977000.0,50762956000.0,35906361000.0,,54.03258,전기장비,147900.0,33500.0,0.10012486,47685390,103590,216364.0,367267.1,0.5891189273419808,27032528107.5,-30.97447795823666,-4.6474358974358925,1.1373493569121764,17.648011662752086,10.029628416970844,171.988,-59.77011494252873,https://finance.naver.com/item/main.naver?code=103590
SK바이오사이언스,KOSPI,35450.0,2781284803850,-48.02,1.54,-733.0,22806.0,0.4785,168610527500.0,-44535066050.0,-36164201740.0,,46.40104,제약,61300.0,33850.0,0.0567604468,78456553,302440,53773.0,123269.75,0.436222187519647,4549193958.75,-23.92703862660944,-27.356557377049185,1.0400605176858069,-3.2140664737349818,-26.412980678208246,47.85,-42.16965742251223,https://finance.naver.com/item/main.naver?code=302440
팬오션,KOSPI,5160.0,2758378681920,9.26,0.49,564.0,10707.0,0.92598,1508925000000.0,140923000000.0,94516000000.0,,9.66018,해운사,6600.0,3485.0,0.1708671575,534569512,028670,1457588.0,2205810.2,0.6607948408253801,11027962866.05,-5.667276051188297,34.90196078431374,1.2752525126595207,5.267581955729896,9.33929784449194,92.598,-21.818181818181813,https://finance.naver.com/item/main.naver?code=028670
에스원,KOSPI,72100.0,2739740733800,13.48,1.37,5281.0,51947.0,0.45811,673714757950.0,20744829570.0,21534544260.0,,14.0362,상업서비스와공급품,103000.0,66800.0,0.5552557216,37999178,012750,53840.0,66711.15,0.807061488221984,4804081415.0,-21.800433839479393,-0.8253094910591452,1.2967697303973924,10.166130864149999,3.0791710178834446,45.811,-30.000000000000004,https://finance.naver.com/item/main.naver?code=012750
제주반도체,KOSDAQ,81900.0,2820868022700,75.96,13.22,1173.0,6742.0,0.74989,180471968350.0,67113446930.0,78063910990.0,,35.36291,반도체와반도체장비,138000.0,13380.0,0.0178610163,34442833,080220,1493407.0,3430978.85,0.435271409498779,368647168985.0,89.14549653579678,157.54716981132074,1.1858659519279753,17.398398101453573,37.187740314242546,74.98899999999999,-40.65217391304348,https://finance.naver.com/item/main.naver?code=080220
포스코DX,KOSPI,18630.0,2832407001270,56.09,5.13,343.0,3752.0,0.44247,241510184530.0,3658162590.0,4011399490.0,,29.99688,IT서비스,45600.0,18460.0,0.0320041482,152034729,022100,320409.0,407387.85,0.7864962099385144,8867253565.5,-43.96992481203007,-35.536332179930795,1.4194826870757191,9.14179104477612,1.5147032399975617,44.247,-59.14473684210526,https://finance.naver.com/item/main.naver?code=022100
